"Age","Education","Marital_Status","Occupation","Sex","Hours_PW","Nationality","Income"
22,"Some-college,","Never-married,","Adm-clerical,","Female,","30,","Jamaica,","<=50K"
52,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","55,","United-States,",">50K"
61,"HS-grad,","Married-civ-spouse,","Adm-clerical,","Female,","5,","United-States,","<=50K"
42,"Bachelors,","Never-married,","Sales,","Male,","40,","United-States,","<=50K"
21,"Assoc-voc,","Never-married,","Adm-clerical,","Female,","40,","United-States,","<=50K"
44,"HS-grad,","Married-civ-spouse,","Transport-moving,","Male,","40,","United-States,","<=50K"
65,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","40,","Greece,","<=50K"
56,"HS-grad,","Divorced,","?,","Male,","10,","United-States,","<=50K"
33,"Assoc-acdm,","Divorced,","Other-service,","Male,","40,","United-States,","<=50K"
22,"10th,","Never-married,","Adm-clerical,","Female,","40,","United-States,","<=50K"
43,"HS-grad,","Divorced,","Machine-op-inspct,","Female,","24,","United-States,","<=50K"
45,"HS-grad,","Divorced,","Exec-managerial,","Male,","42,","United-States,","<=50K"
42,"HS-grad,","Divorced,","Sales,","Female,","42,","United-States,","<=50K"
37,"HS-grad,","Married-spouse-absent,","Farming-fishing,","Male,","40,","Mexico,","<=50K"
56,"9th,","Divorced,","Craft-repair,","Male,","40,","United-States,","<=50K"
35,"10th,","Divorced,","?,","Female,","16,","?,","<=50K"
40,"Assoc-acdm,","Divorced,","Adm-clerical,","Female,","32,","United-States,","<=50K"
31,"Bachelors,","Married-civ-spouse,","Sales,","Male,","55,","United-States,","<=50K"
26,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Male,","40,","United-States,","<=50K"
26,"Bachelors,","Never-married,","Prof-specialty,","Male,","40,","United-States,","<=50K"
42,"Bachelors,","Married-civ-spouse,","Exec-managerial,","Male,","70,","United-States,","<=50K"
45,"HS-grad,","Married-civ-spouse,","Exec-managerial,","Male,","40,","China,","<=50K"
47,"Some-college,","Married-civ-spouse,","Prof-specialty,","Male,","50,","United-States,",">50K"
22,"Some-college,","Married-civ-spouse,","Machine-op-inspct,","Male,","40,","Mexico,","<=50K"
33,"Bachelors,","Never-married,","Exec-managerial,","Male,","40,","United-States,","<=50K"
37,"HS-grad,","Never-married,","Transport-moving,","Male,","50,","United-States,","<=50K"
48,"HS-grad,","Married-civ-spouse,","Farming-fishing,","Male,","98,","United-States,","<=50K"
57,"10th,","Married-civ-spouse,","Craft-repair,","Male,","8,","United-States,","<=50K"
47,"Some-college,","Divorced,","Adm-clerical,","Female,","60,","United-States,","<=50K"
58,"9th,","Married-civ-spouse,","Transport-moving,","Male,","40,","United-States,","<=50K"
55,"11th,","Widowed,","Adm-clerical,","Female,","40,","United-States,","<=50K"
52,"Some-college,","Married-civ-spouse,","Craft-repair,","Male,","55,","United-States,","<=50K"
29,"Bachelors,","Never-married,","Prof-specialty,","Male,","40,","United-States,","<=50K"
42,"Masters,","Never-married,","Prof-specialty,","Female,","40,","United-States,","<=50K"
23,"HS-grad,","Divorced,","Craft-repair,","Male,","60,","United-States,","<=50K"
23,"12th,","Never-married,","Other-service,","Female,","30,","United-States,","<=50K"
46,"Assoc-voc,","Married-civ-spouse,","Exec-managerial,","Male,","60,","United-States,","<=50K"
30,"Some-college,","Never-married,","Machine-op-inspct,","Male,","40,","United-States,","<=50K"
43,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Female,","70,","United-States,",">50K"
25,"Some-college,","Never-married,","Adm-clerical,","Female,","30,","United-States,","<=50K"
32,"HS-grad,","Married-civ-spouse,","Transport-moving,","Male,","80,","United-States,",">50K"
56,"9th,","Married-civ-spouse,","Transport-moving,","Male,","40,","United-States,","<=50K"
33,"HS-grad,","Married-civ-spouse,","Transport-moving,","Male,","43,","United-States,","<=50K"
19,"Some-college,","Never-married,","Adm-clerical,","Male,","10,","United-States,","<=50K"
20,"Some-college,","Never-married,","Sales,","Female,","18,","United-States,","<=50K"
34,"Some-college,","Married-civ-spouse,","Adm-clerical,","Male,","40,","United-States,","<=50K"
34,"9th,","Divorced,","Other-service,","Female,","40,","United-States,","<=50K"
55,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
55,"9th,","Married-civ-spouse,","Tech-support,","Female,","23,","United-States,","<=50K"
31,"Some-college,","Never-married,","Sales,","Male,","45,","United-States,","<=50K"
30,"HS-grad,","Divorced,","Other-service,","Female,","40,","United-States,","<=50K"
31,"HS-grad,","Divorced,","Other-service,","Male,","40,","United-States,","<=50K"
51,"HS-grad,","Separated,","Machine-op-inspct,","Male,","40,","United-States,","<=50K"
59,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
58,"HS-grad,","Divorced,","Adm-clerical,","Female,","36,","United-States,","<=50K"
40,"9th,","Married-civ-spouse,","Handlers-cleaners,","Male,","40,","United-States,","<=50K"
54,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
25,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Male,","40,","United-States,",">50K"
18,"11th,","Never-married,","Farming-fishing,","Male,","30,","United-States,","<=50K"
41,"Some-college,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
57,"10th,","Widowed,","Other-service,","Female,","40,","United-States,","<=50K"
37,"HS-grad,","Married-civ-spouse,","Exec-managerial,","Male,","40,","United-States,",">50K"
46,"HS-grad,","Never-married,","Other-service,","Female,","24,","United-States,","<=50K"
39,"HS-grad,","Never-married,","Other-service,","Female,","38,","United-States,","<=50K"
19,"HS-grad,","Never-married,","Craft-repair,","Female,","40,","United-States,","<=50K"
41,"Assoc-acdm,","Married-civ-spouse,","Machine-op-inspct,","Male,","40,","United-States,","<=50K"
54,"HS-grad,","Never-married,","Adm-clerical,","Male,","41,","United-States,","<=50K"
39,"Masters,","Married-civ-spouse,","Exec-managerial,","Male,","40,","United-States,",">50K"
41,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,",">50K"
26,"Prof-school,","Never-married,","Prof-specialty,","Female,","30,","United-States,","<=50K"
57,"HS-grad,","Married-civ-spouse,","Adm-clerical,","Male,","50,","United-States,","<=50K"
33,"Some-college,","Married-civ-spouse,","Protective-serv,","Male,","40,","United-States,",">50K"
56,"Some-college,","Married-civ-spouse,","Exec-managerial,","Male,","40,","United-States,",">50K"
60,"HS-grad,","Married-civ-spouse,","Machine-op-inspct,","Male,","40,","United-States,","<=50K"
22,"HS-grad,","Never-married,","Transport-moving,","Male,","70,","United-States,","<=50K"
58,"12th,","Married-civ-spouse,","Transport-moving,","Male,","40,","United-States,","<=50K"
48,"Masters,","Married-spouse-absent,","Exec-managerial,","Female,","50,","United-States,",">50K"
45,"Masters,","Married-civ-spouse,","Prof-specialty,","Male,","55,","United-States,",">50K"
18,"HS-grad,","Never-married,","Sales,","Female,","40,","United-States,","<=50K"
56,"HS-grad,","Widowed,","Other-service,","Female,","40,","United-States,","<=50K"
48,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","60,","United-States,",">50K"
40,"Bachelors,","Never-married,","Tech-support,","Female,","48,","Philippines,","<=50K"
38,"HS-grad,","Divorced,","Other-service,","Male,","32,","United-States,","<=50K"
58,"Some-college,","Divorced,","Adm-clerical,","Female,","40,","United-States,","<=50K"
23,"Some-college,","Never-married,","Exec-managerial,","Male,","50,","United-States,","<=50K"
63,"Some-college,","Married-civ-spouse,","Prof-specialty,","Male,","40,","?,","<=50K"
51,"Bachelors,","Divorced,","Prof-specialty,","Male,","45,","United-States,","<=50K"
22,"5th-6th,","Married-civ-spouse,","?,","Female,","40,","Mexico,","<=50K"
44,"HS-grad,","Married-civ-spouse,","Farming-fishing,","Male,","70,","United-States,","<=50K"
46,"Some-college,","Divorced,","Tech-support,","Male,","40,","United-States,","<=50K"
64,"Bachelors,","Married-civ-spouse,","Adm-clerical,","Male,","40,","United-States,","<=50K"
32,"Bachelors,","Married-civ-spouse,","Exec-managerial,","Male,","40,","England,",">50K"
31,"Some-college,","Married-civ-spouse,","Adm-clerical,","Male,","40,","United-States,","<=50K"
36,"Assoc-voc,","Married-civ-spouse,","Sales,","Male,","50,","United-States,",">50K"
21,"HS-grad,","Never-married,","Other-service,","Female,","50,","United-States,","<=50K"
30,"Some-college,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
31,"Assoc-voc,","Never-married,","Other-service,","Female,","40,","United-States,","<=50K"
54,"HS-grad,","Married-civ-spouse,","Transport-moving,","Male,","50,","United-States,","<=50K"
59,"9th,","Married-civ-spouse,","Other-service,","Male,","40,","United-States,","<=50K"
28,"Masters,","Married-civ-spouse,","Prof-specialty,","Female,","20,","United-States,",">50K"
57,"HS-grad,","Divorced,","Adm-clerical,","Female,","40,","United-States,","<=50K"
44,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","45,","United-States,","<=50K"
53,"Some-college,","Divorced,","Exec-managerial,","Male,","60,","United-States,","<=50K"
58,"Some-college,","Married-civ-spouse,","Exec-managerial,","Male,","60,","United-States,",">50K"
19,"Some-college,","Never-married,","Other-service,","Female,","20,","United-States,","<=50K"
39,"Assoc-acdm,","Married-civ-spouse,","Exec-managerial,","Male,","50,","United-States,",">50K"
31,"Some-college,","Married-civ-spouse,","Exec-managerial,","Female,","70,","South,","<=50K"
27,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
46,"9th,","Separated,","Other-service,","Female,","40,","United-States,","<=50K"
37,"Masters,","Never-married,","Exec-managerial,","Male,","40,","United-States,","<=50K"
27,"Bachelors,","Never-married,","Sales,","Female,","40,","United-States,","<=50K"
33,"Some-college,","Never-married,","Transport-moving,","Male,","55,","United-States,","<=50K"
20,"Some-college,","Never-married,","Other-service,","Male,","16,","United-States,","<=50K"
55,"HS-grad,","Divorced,","Craft-repair,","Male,","45,","United-States,","<=50K"
39,"Assoc-acdm,","Never-married,","Sales,","Female,","40,","United-States,","<=50K"
41,"HS-grad,","Never-married,","Other-service,","Female,","40,","United-States,","<=50K"
30,"Bachelors,","Never-married,","Prof-specialty,","Female,","40,","United-States,","<=50K"
39,"Bachelors,","Married-spouse-absent,","Sales,","Male,","40,","United-States,","<=50K"
28,"HS-grad,","Separated,","Exec-managerial,","Female,","50,","United-States,","<=50K"
25,"Some-college,","Never-married,","Sales,","Male,","24,","United-States,","<=50K"
31,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","50,","United-States,","<=50K"
51,"HS-grad,","Married-civ-spouse,","Transport-moving,","Male,","60,","United-States,","<=50K"
24,"Bachelors,","Never-married,","Adm-clerical,","Male,","40,","United-States,","<=50K"
70,"HS-grad,","Divorced,","Protective-serv,","Female,","32,","United-States,","<=50K"
23,"Some-college,","Never-married,","Adm-clerical,","Male,","40,","United-States,","<=50K"
61,"HS-grad,","Widowed,","Exec-managerial,","Female,","40,","United-States,","<=50K"
45,"7th-8th,","Married-civ-spouse,","Exec-managerial,","Male,","55,","United-States,",">50K"
47,"HS-grad,","Married-civ-spouse,","Handlers-cleaners,","Male,","60,","United-States,","<=50K"
56,"Some-college,","Divorced,","Other-service,","Female,","50,","United-States,","<=50K"
79,"Doctorate,","Married-civ-spouse,","Prof-specialty,","Male,","35,","El-Salvador,",">50K"
20,"Some-college,","Never-married,","Adm-clerical,","Female,","15,","United-States,","<=50K"
30,"HS-grad,","Never-married,","Craft-repair,","Male,","40,","Vietnam,","<=50K"
27,"Bachelors,","Married-civ-spouse,","Sales,","Male,","25,","?,","<=50K"
40,"Bachelors,","Married-civ-spouse,","Sales,","Male,","40,","United-States,",">50K"
60,"HS-grad,","Married-civ-spouse,","?,","Male,","5,","United-States,","<=50K"
58,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,",">50K"
71,"Prof-school,","Married-civ-spouse,","Farming-fishing,","Male,","2,","United-States,","<=50K"
50,"Prof-school,","Married-civ-spouse,","Prof-specialty,","Male,","60,","United-States,",">50K"
29,"Some-college,","Never-married,","Exec-managerial,","Male,","40,","Iran,","<=50K"
33,"10th,","Separated,","Other-service,","Female,","35,","United-States,","<=50K"
60,"HS-grad,","Married-civ-spouse,","Protective-serv,","Male,","40,","United-States,",">50K"
33,"Assoc-acdm,","Never-married,","Adm-clerical,","Male,","50,","United-States,","<=50K"
43,"Bachelors,","Married-civ-spouse,","Other-service,","Female,","35,","?,",">50K"
33,"10th,","Never-married,","Handlers-cleaners,","Male,","40,","United-States,","<=50K"
33,"HS-grad,","Married-civ-spouse,","Adm-clerical,","Female,","52,","United-States,","<=50K"
32,"HS-grad,","Married-civ-spouse,","Protective-serv,","Male,","45,","United-States,","<=50K"
21,"Some-college,","Never-married,","Other-service,","Female,","9,","United-States,","<=50K"
38,"HS-grad,","Married-civ-spouse,","Prof-specialty,","Female,","40,","United-States,","<=50K"
38,"Some-college,","Married-civ-spouse,","Adm-clerical,","Female,","35,","United-States,",">50K"
39,"Some-college,","Separated,","Exec-managerial,","Female,","30,","United-States,","<=50K"
17,"11th,","Never-married,","Sales,","Female,","15,","United-States,","<=50K"
21,"Some-college,","Married-civ-spouse,","Adm-clerical,","Male,","40,","United-States,","<=50K"
42,"Some-college,","Married-civ-spouse,","Tech-support,","Male,","20,","United-States,",">50K"
42,"HS-grad,","Married-civ-spouse,","Exec-managerial,","Female,","40,","United-States,",">50K"
36,"11th,","Divorced,","Other-service,","Female,","40,","United-States,","<=50K"
32,"Some-college,","Divorced,","Exec-managerial,","Female,","50,","United-States,",">50K"
37,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Male,","40,","United-States,",">50K"
28,"Bachelors,","Never-married,","Sales,","Male,","40,","United-States,","<=50K"
37,"Assoc-voc,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
50,"HS-grad,","Separated,","Prof-specialty,","Female,","60,","Puerto-Rico,","<=50K"
49,"11th,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
40,"Masters,","Married-civ-spouse,","Exec-managerial,","Male,","40,","United-States,",">50K"
40,"Some-college,","Married-civ-spouse,","Other-service,","Male,","40,","United-States,","<=50K"
49,"Some-college,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
35,"Masters,","Never-married,","Exec-managerial,","Male,","40,","United-States,",">50K"
33,"HS-grad,","Divorced,","Protective-serv,","Male,","40,","United-States,","<=50K"
24,"HS-grad,","Never-married,","Craft-repair,","Male,","40,","United-States,","<=50K"
41,"Masters,","Never-married,","Adm-clerical,","Female,","40,","United-States,","<=50K"
43,"Some-college,","Married-civ-spouse,","Tech-support,","Male,","40,","Jamaica,",">50K"
36,"HS-grad,","Married-civ-spouse,","Farming-fishing,","Male,","60,","United-States,",">50K"
84,"Bachelors,","Married-civ-spouse,","Farming-fishing,","Male,","20,","United-States,","<=50K"
23,"HS-grad,","Never-married,","Sales,","Male,","40,","United-States,","<=50K"
41,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Male,","50,","United-States,",">50K"
55,"HS-grad,","Married-civ-spouse,","Exec-managerial,","Male,","45,","United-States,",">50K"
30,"Some-college,","Never-married,","Craft-repair,","Male,","45,","United-States,","<=50K"
46,"Assoc-acdm,","Married-civ-spouse,","Adm-clerical,","Male,","40,","India,","<=50K"
55,"Some-college,","Married-civ-spouse,","Exec-managerial,","Male,","40,","United-States,",">50K"
34,"Some-college,","Never-married,","Adm-clerical,","Male,","40,","United-States,","<=50K"
54,"Masters,","Divorced,","Sales,","Male,","60,","United-States,","<=50K"
27,"Some-college,","Never-married,","Adm-clerical,","Male,","40,","United-States,","<=50K"
52,"Masters,","Married-civ-spouse,","Prof-specialty,","Female,","40,","United-States,",">50K"
36,"Some-college,","Married-civ-spouse,","Adm-clerical,","Female,","40,","United-States,",">50K"
25,"HS-grad,","Never-married,","Prof-specialty,","Male,","40,","United-States,","<=50K"
52,"Bachelors,","Married-civ-spouse,","Exec-managerial,","Male,","55,","United-States,",">50K"
24,"HS-grad,","Divorced,","Exec-managerial,","Female,","50,","United-States,","<=50K"
36,"HS-grad,","Never-married,","Adm-clerical,","Female,","40,","United-States,","<=50K"
31,"HS-grad,","Married-civ-spouse,","Handlers-cleaners,","Male,","40,","United-States,","<=50K"
66,"Some-college,","Married-civ-spouse,","?,","Male,","20,","United-States,","<=50K"
90,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Male,","50,","United-States,","<=50K"
67,"Masters,","Married-civ-spouse,","Prof-specialty,","Male,","60,","United-States,",">50K"
22,"7th-8th,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
47,"Some-college,","Divorced,","Adm-clerical,","Female,","35,","United-States,","<=50K"
32,"Bachelors,","Married-civ-spouse,","Exec-managerial,","Male,","55,","United-States,",">50K"
55,"7th-8th,","Married-civ-spouse,","Farming-fishing,","Male,","50,","United-States,","<=50K"
32,"HS-grad,","Never-married,","Handlers-cleaners,","Female,","35,","United-States,","<=50K"
48,"Some-college,","Separated,","Adm-clerical,","Female,","40,","United-States,","<=50K"
21,"HS-grad,","Married-civ-spouse,","Sales,","Male,","35,","United-States,","<=50K"
33,"Assoc-acdm,","Married-spouse-absent,","Prof-specialty,","Female,","40,","United-States,","<=50K"
27,"Some-college,","Never-married,","Prof-specialty,","Female,","48,","?,","<=50K"
47,"Assoc-voc,","Never-married,","Prof-specialty,","Female,","40,","United-States,","<=50K"
18,"11th,","Never-married,","Other-service,","Female,","24,","United-States,","<=50K"
44,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","60,","United-States,",">50K"
23,"Some-college,","Never-married,","Craft-repair,","Male,","37,","Mexico,","<=50K"
18,"10th,","Never-married,","Sales,","Female,","35,","United-States,","<=50K"
56,"HS-grad,","Married-civ-spouse,","Exec-managerial,","Male,","50,","United-States,","<=50K"
24,"Bachelors,","Never-married,","Adm-clerical,","Male,","35,","United-States,","<=50K"
43,"Bachelors,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,",">50K"
23,"Bachelors,","Never-married,","Sales,","Female,","60,","United-States,","<=50K"
26,"Some-college,","Never-married,","Sales,","Male,","42,","United-States,","<=50K"
42,"HS-grad,","Widowed,","Sales,","Male,","40,","United-States,","<=50K"
23,"HS-grad,","Never-married,","Adm-clerical,","Female,","40,","United-States,","<=50K"
53,"10th,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
51,"HS-grad,","Married-civ-spouse,","Exec-managerial,","Male,","55,","United-States,",">50K"
40,"HS-grad,","Never-married,","Other-service,","Male,","25,","United-States,","<=50K"
27,"Bachelors,","Never-married,","Prof-specialty,","Male,","50,","United-States,","<=50K"
24,"Some-college,","Separated,","Protective-serv,","Male,","60,","United-States,","<=50K"
42,"HS-grad,","Divorced,","Craft-repair,","Female,","40,","United-States,","<=50K"
41,"HS-grad,","Separated,","Adm-clerical,","Female,","40,","United-States,","<=50K"
23,"Some-college,","Never-married,","Handlers-cleaners,","Male,","10,","United-States,","<=50K"
42,"Masters,","Married-civ-spouse,","Prof-specialty,","Male,","65,","United-States,","<=50K"
38,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,",">50K"
63,"7th-8th,","Married-civ-spouse,","Farming-fishing,","Male,","30,","United-States,","<=50K"
31,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
18,"11th,","Never-married,","Other-service,","Female,","4,","United-States,","<=50K"
21,"Some-college,","Never-married,","Other-service,","Male,","30,","United-States,","<=50K"
24,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Female,","40,","Philippines,","<=50K"
55,"Some-college,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
20,"9th,","Never-married,","Adm-clerical,","Female,","20,","United-States,","<=50K"
31,"Some-college,","Divorced,","Sales,","Female,","30,","United-States,","<=50K"
23,"Some-college,","Never-married,","Adm-clerical,","Female,","20,","United-States,","<=50K"
35,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","40,","Mexico,","<=50K"
51,"Some-college,","Married-civ-spouse,","Sales,","Male,","60,","United-States,","<=50K"
19,"Some-college,","Never-married,","Protective-serv,","Female,","30,","United-States,","<=50K"
38,"HS-grad,","Divorced,","Protective-serv,","Male,","56,","United-States,","<=50K"
52,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
70,"Prof-school,","Married-civ-spouse,","Prof-specialty,","Male,","25,","United-States,","<=50K"
53,"10th,","Divorced,","Craft-repair,","Male,","40,","United-States,","<=50K"
59,"Doctorate,","Married-civ-spouse,","Exec-managerial,","Male,","40,","United-States,",">50K"
39,"Some-college,","Married-civ-spouse,","Transport-moving,","Male,","43,","United-States,","<=50K"
18,"12th,","Never-married,","Sales,","Female,","20,","United-States,","<=50K"
41,"HS-grad,","Never-married,","?,","Female,","30,","United-States,","<=50K"
19,"Some-college,","Never-married,","?,","Male,","10,","United-States,","<=50K"
24,"Some-college,","Divorced,","Adm-clerical,","Female,","40,","United-States,","<=50K"
25,"HS-grad,","Never-married,","Adm-clerical,","Female,","38,","United-States,","<=50K"
32,"Some-college,","Never-married,","Exec-managerial,","Male,","40,","Jamaica,","<=50K"
34,"HS-grad,","Married-civ-spouse,","Sales,","Male,","60,","United-States,",">50K"
35,"HS-grad,","Never-married,","Sales,","Female,","40,","United-States,","<=50K"
50,"HS-grad,","Married-civ-spouse,","Adm-clerical,","Male,","45,","United-States,",">50K"
18,"HS-grad,","Never-married,","Sales,","Male,","20,","United-States,","<=50K"
37,"HS-grad,","Never-married,","Adm-clerical,","Male,","42,","United-States,","<=50K"
30,"Some-college,","Never-married,","Other-service,","Female,","36,","United-States,","<=50K"
40,"Masters,","Married-civ-spouse,","Exec-managerial,","Female,","30,","Iran,",">50K"
22,"HS-grad,","Never-married,","Prof-specialty,","Female,","40,","United-States,","<=50K"
50,"Some-college,","Separated,","Other-service,","Female,","28,","United-States,","<=50K"
70,"HS-grad,","Divorced,","Other-service,","Female,","23,","United-States,","<=50K"
43,"Masters,","Married-civ-spouse,","Prof-specialty,","Male,","40,","United-States,",">50K"
77,"Some-college,","Never-married,","Craft-repair,","Male,","40,","United-States,","<=50K"
30,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
33,"Some-college,","Married-civ-spouse,","Machine-op-inspct,","Male,","39,","United-States,","<=50K"
51,"Some-college,","Married-civ-spouse,","Sales,","Male,","50,","United-States,",">50K"
58,"Masters,","Married-civ-spouse,","Prof-specialty,","Male,","50,","United-States,",">50K"
22,"Some-college,","Never-married,","Adm-clerical,","Male,","12,","United-States,","<=50K"
33,"HS-grad,","Married-civ-spouse,","Transport-moving,","Male,","40,","United-States,","<=50K"
27,"11th,","Married-civ-spouse,","Sales,","Male,","40,","United-States,","<=50K"
35,"Some-college,","Never-married,","Exec-managerial,","Male,","60,","United-States,","<=50K"
32,"Some-college,","Divorced,","Sales,","Female,","55,","United-States,","<=50K"
41,"Bachelors,","Married-civ-spouse,","Tech-support,","Female,","25,","United-States,",">50K"
37,"Some-college,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
17,"11th,","Never-married,","Sales,","Male,","15,","United-States,","<=50K"
50,"Bachelors,","Divorced,","Exec-managerial,","Male,","55,","United-States,",">50K"
31,"HS-grad,","Married-civ-spouse,","?,","Male,","40,","Philippines,","<=50K"
54,"HS-grad,","Separated,","Exec-managerial,","Female,","38,","United-States,","<=50K"
23,"HS-grad,","Never-married,","Other-service,","Male,","40,","United-States,","<=50K"
40,"Bachelors,","Divorced,","Adm-clerical,","Female,","20,","United-States,","<=50K"
29,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Male,","40,","Germany,","<=50K"
